time iter num.topics num.tables likelihood gamma alpha split merge trial
  124.00 00051 0010 141130 -4661674.99109 1.00000 1.00000 0 0 0
  126.00 00052 0010 141620 -4662179.89101 1.00000 1.00000 0 0 0
  128.00 00053 0012 141353 -4659983.53455 1.00000 1.00000 0 0 0
  131.00 00054 0010 141454 -4658716.22221 1.00000 1.00000 0 0 0
  133.00 00055 0010 141363 -4657562.52800 1.00000 1.00000 0 0 0
  136.00 00056 0008 141842 -4658852.90188 1.00000 1.00000 0 0 0
  138.00 00057 0009 141767 -4657273.91433 1.00000 1.00000 0 0 0
  140.00 00058 0011 141595 -4655467.80282 1.00000 1.00000 0 0 0
  142.00 00059 0010 141382 -4654967.85154 1.00000 1.00000 0 0 0
  145.00 00060 0010 141244 -4653700.11895 1.00000 1.00000 0 0 0
  147.00 00061 0009 141100 -4652925.84232 1.00000 1.00000 0 0 0
  149.00 00062 0011 141424 -4653840.24458 1.00000 1.00000 0 0 0
  152.00 00063 0012 141550 -4653945.16486 1.00000 1.00000 0 0 0
  154.00 00064 0010 141471 -4652483.99948 1.00000 1.00000 0 0 0
  157.00 00065 0009 141766 -4652436.09637 1.00000 1.00000 0 0 0
  159.00 00066 0010 141540 -4653054.23394 1.00000 1.00000 0 0 0
  161.00 00067 0011 141423 -4650592.97474 1.00000 1.00000 0 0 0
  164.00 00068 0011 141349 -4652407.89073 1.00000 1.00000 0 0 0
  166.00 00069 0012 141629 -4651463.57082 1.00000 1.00000 0 0 0
  168.00 00070 0012 141603 -4651544.37268 1.00000 1.00000 0 0 0
  171.00 00071 0013 141491 -4651532.76186 1.00000 1.00000 0 0 0
  173.00 00072 0012 141521 -4651761.68599 1.00000 1.00000 0 0 0
  176.00 00073 0013 141428 -4651145.89308 1.00000 1.00000 0 0 0
  178.00 00074 0013 141471 -4650939.23728 1.00000 1.00000 0 0 0
  181.00 00075 0011 141484 -4650068.61922 1.00000 1.00000 0 0 0
  183.00 00076 0013 141171 -4649450.16413 1.00000 1.00000 0 0 0
  186.00 00077 0013 141329 -4648597.55500 1.00000 1.00000 0 0 0
  189.00 00078 0009 141275 -4650128.44624 1.00000 1.00000 0 0 0
  191.00 00079 0009 141089 -4647956.38158 1.00000 1.00000 0 0 0
  193.00 00080 0009 140763 -4646900.69416 1.00000 1.00000 0 0 0
  195.00 00081 0010 140954 -4646440.62799 1.00000 1.00000 0 0 0
  198.00 00082 0010 141314 -4647378.87951 1.00000 1.00000 0 0 0
  200.00 00083 0011 141438 -4647635.24051 1.00000 1.00000 0 0 0
  202.00 00084 0012 141538 -4648962.69376 1.00000 1.00000 0 0 0
  204.00 00085 0009 141307 -4648547.03341 1.00000 1.00000 0 0 0
  206.00 00086 0010 141327 -4649728.24414 1.00000 1.00000 0 0 0
  209.00 00087 0010 141350 -4648915.21515 1.00000 1.00000 0 0 0
  211.00 00088 0009 141755 -4649504.80522 1.00000 1.00000 0 0 0
  212.00 00089 0007 141769 -4649130.35630 1.00000 1.00000 0 0 0
  214.00 00090 0007 141417 -4647552.39641 1.00000 1.00000 0 0 0
  216.00 00091 0008 141118 -4647115.58132 1.00000 1.00000 0 0 0
  218.00 00092 0008 141230 -4647683.09207 1.00000 1.00000 0 0 0
  220.00 00093 0010 141623 -4646565.65443 1.00000 1.00000 0 0 0
  222.00 00094 0009 141228 -4647176.24493 1.00000 1.00000 0 0 0
  224.00 00095 0009 141240 -4645710.50770 1.00000 1.00000 0 0 0
  226.00 00096 0011 141524 -4645817.31364 1.00000 1.00000 0 0 0
  229.00 00097 0013 141417 -4645103.88211 1.00000 1.00000 0 0 0
  232.00 00098 0012 141260 -4643599.61375 1.00000 1.00000 0 0 0
  234.00 00099 0014 141059 -4640376.59246 1.00000 1.00000 0 0 0
  237.00 00100 0015 141067 -4639987.26913 1.00000 1.00000 0 0 0
  240.00 00101 0012 141301 -4640579.70179 1.00000 1.00000 0 0 0
  243.00 00102 0014 141002 -4639054.12970 1.00000 1.00000 0 0 0
  246.00 00103 0011 141191 -4639882.28967 1.00000 1.00000 0 0 0
  248.00 00104 0011 141189 -4640276.26582 1.00000 1.00000 0 0 0
  250.00 00105 0012 141090 -4639350.29935 1.00000 1.00000 0 0 0
  253.00 00106 0011 140979 -4639150.22649 1.00000 1.00000 0 0 0
  255.00 00107 0011 141225 -4639776.74686 1.00000 1.00000 0 0 0
  257.00 00108 0011 141022 -4638820.90271 1.00000 1.00000 0 0 0
  260.00 00109 0011 141076 -4639540.32836 1.00000 1.00000 0 0 0
  262.00 00110 0009 141601 -4640231.12190 1.00000 1.00000 0 0 0
  264.00 00111 0009 141101 -4638077.23052 1.00000 1.00000 0 0 0
  266.00 00112 0009 140861 -4639318.14321 1.00000 1.00000 0 0 0
  268.00 00113 0011 141328 -4640106.44647 1.00000 1.00000 0 0 0
  271.00 00114 0013 141306 -4641995.97904 1.00000 1.00000 0 0 0
  273.00 00115 0015 141236 -4641220.76412 1.00000 1.00000 0 0 0
  276.00 00116 0012 141048 -4641197.16693 1.00000 1.00000 0 0 0
  278.00 00117 0011 141039 -4640982.07141 1.00000 1.00000 0 0 0
  281.00 00118 0010 140971 -4640248.23791 1.00000 1.00000 0 0 0
  283.00 00119 0011 141303 -4639498.41618 1.00000 1.00000 0 0 0
  285.00 00120 0011 140849 -4638365.84824 1.00000 1.00000 0 0 0
  287.00 00121 0012 141022 -4638906.41225 1.00000 1.00000 0 0 0
  290.00 00122 0011 140818 -4638557.97527 1.00000 1.00000 0 0 0
  292.00 00123 0012 140992 -4638861.47984 1.00000 1.00000 0 0 0
  294.00 00124 0011 140970 -4637784.92091 1.00000 1.00000 0 0 0
  297.00 00125 0010 141068 -4638197.85826 1.00000 1.00000 0 0 0
  299.00 00126 0011 141164 -4638854.86188 1.00000 1.00000 0 0 0
  301.00 00127 0013 141323 -4639197.94436 1.00000 1.00000 0 0 0
  304.00 00128 0015 141247 -4638243.43651 1.00000 1.00000 0 0 0
  306.00 00129 0015 141252 -4638166.34285 1.00000 1.00000 0 0 0
  309.00 00130 0012 141376 -4637996.07166 1.00000 1.00000 0 0 0
  312.00 00131 0012 141392 -4638703.94619 1.00000 1.00000 0 0 0
  314.00 00132 0013 141130 -4636956.96364 1.00000 1.00000 0 0 0
  317.00 00133 0012 141122 -4638849.67425 1.00000 1.00000 0 0 0
  319.00 00134 0015 141219 -4638251.41013 1.00000 1.00000 0 0 0
  322.00 00135 0011 141126 -4636586.28187 1.00000 1.00000 0 0 0
  324.00 00136 0010 141227 -4636926.73946 1.00000 1.00000 0 0 0
  327.00 00137 0010 141289 -4636941.49458 1.00000 1.00000 0 0 0
  329.00 00138 0010 141208 -4635612.51205 1.00000 1.00000 0 0 0
  331.00 00139 0011 140853 -4633951.66442 1.00000 1.00000 0 0 0
  334.00 00140 0012 140647 -4634926.95945 1.00000 1.00000 0 0 0
  336.00 00141 0012 140809 -4635929.61247 1.00000 1.00000 0 0 0
  339.00 00142 0013 140856 -4636560.26052 1.00000 1.00000 0 0 0
  341.00 00143 0012 140964 -4636967.49041 1.00000 1.00000 0 0 0
  344.00 00144 0012 140769 -4635709.86759 1.00000 1.00000 0 0 0
  346.00 00145 0011 141217 -4638035.17295 1.00000 1.00000 0 0 0
  348.00 00146 0011 140622 -4636649.82604 1.00000 1.00000 0 0 0
  351.00 00147 0009 140612 -4635741.27713 1.00000 1.00000 0 0 0
  353.00 00148 0009 140607 -4636066.64316 1.00000 1.00000 0 0 0
  354.00 00149 0010 140572 -4635753.99476 1.00000 1.00000 0 0 0
  357.00 00150 0009 140873 -4637015.66418 1.00000 1.00000 0 0 0
  359.00 00151 0009 140980 -4637572.04268 1.00000 1.00000 0 0 0
  361.00 00152 0011 141041 -4637963.54618 1.00000 1.00000 0 0 0
  363.00 00153 0010 141055 -4635994.41792 1.00000 1.00000 0 0 0
  365.00 00154 0012 141035 -4637516.10290 1.00000 1.00000 0 0 0
  368.00 00155 0014 140778 -4636241.08778 1.00000 1.00000 0 0 0
  370.00 00156 0015 140679 -4636381.86986 1.00000 1.00000 0 0 0
  373.00 00157 0012 140893 -4636567.95905 1.00000 1.00000 0 0 0
  376.00 00158 0012 141312 -4637907.46151 1.00000 1.00000 0 0 0
  378.00 00159 0013 141003 -4636277.78991 1.00000 1.00000 0 0 0
  380.00 00160 0010 140972 -4636780.19785 1.00000 1.00000 0 0 0
  382.00 00161 0010 140667 -4636607.37386 1.00000 1.00000 0 0 0
  384.00 00162 0011 140710 -4634886.83622 1.00000 1.00000 0 0 0
  387.00 00163 0010 140874 -4636123.43828 1.00000 1.00000 0 0 0
  389.00 00164 0009 140874 -4636161.76836 1.00000 1.00000 0 0 0
  391.00 00165 0010 140973 -4637820.25019 1.00000 1.00000 0 0 0
  393.00 00166 0010 141024 -4638075.02396 1.00000 1.00000 0 0 0
  395.00 00167 0011 140746 -4637075.94050 1.00000 1.00000 0 0 0
  397.00 00168 0011 140915 -4636677.87216 1.00000 1.00000 0 0 0
  399.00 00169 0012 140872 -4636272.56441 1.00000 1.00000 0 0 0
  402.00 00170 0009 141013 -4637533.32021 1.00000 1.00000 0 0 0
  403.00 00171 0009 140878 -4635995.12321 1.00000 1.00000 0 0 0
  405.00 00172 0010 140992 -4635929.79673 1.00000 1.00000 0 0 0
  408.00 00173 0010 140770 -4635216.63786 1.00000 1.00000 0 0 0
  410.00 00174 0010 140786 -4635426.21159 1.00000 1.00000 0 0 0
  412.00 00175 0010 140489 -4634433.63914 1.00000 1.00000 0 0 0
  414.00 00176 0011 140605 -4633220.67806 1.00000 1.00000 0 0 0
  417.00 00177 0011 140612 -4632462.62665 1.00000 1.00000 0 0 0
  419.00 00178 0012 140715 -4633103.08714 1.00000 1.00000 0 0 0
  422.00 00179 0012 140610 -4631878.51775 1.00000 1.00000 0 0 0
  424.00 00180 0012 140340 -4631804.28142 1.00000 1.00000 0 0 0
  427.00 00181 0014 140346 -4633825.48158 1.00000 1.00000 0 0 0
  430.00 00182 0012 140494 -4633995.87455 1.00000 1.00000 0 0 0
  432.00 00183 0010 140830 -4634567.88884 1.00000 1.00000 0 0 0
  434.00 00184 0012 141123 -4637090.11676 1.00000 1.00000 0 0 0
  437.00 00185 0014 140543 -4635138.18654 1.00000 1.00000 0 0 0
  439.00 00186 0012 140678 -4634039.09417 1.00000 1.00000 0 0 0
  442.00 00187 0012 140735 -4634107.47710 1.00000 1.00000 0 0 0
  444.00 00188 0010 140890 -4635529.35369 1.00000 1.00000 0 0 0
  446.00 00189 0011 140637 -4634284.12816 1.00000 1.00000 0 0 0
  448.00 00190 0012 140947 -4635250.79166 1.00000 1.00000 0 0 0
  451.00 00191 0010 140857 -4634587.29079 1.00000 1.00000 0 0 0
  453.00 00192 0010 140722 -4633998.34223 1.00000 1.00000 0 0 0
  455.00 00193 0011 140834 -4635380.35364 1.00000 1.00000 0 0 0
  457.00 00194 0011 141291 -4637942.03945 1.00000 1.00000 0 0 0
  460.00 00195 0010 140978 -4636806.19973 1.00000 1.00000 0 0 0
  462.00 00196 0010 140914 -4637024.55281 1.00000 1.00000 0 0 0
  464.00 00197 0012 141066 -4637778.42369 1.00000 1.00000 0 0 0
  466.00 00198 0011 141115 -4637158.02149 1.00000 1.00000 0 0 0
  469.00 00199 0011 141072 -4636251.94625 1.00000 1.00000 0 0 0
  471.00 00200 0011 141045 -4636907.01148 1.00000 1.00000 0 0 0
  474.00 00201 0011 141025 -4639663.26181 1.00000 1.00000 0 0 0
  476.00 00202 0010 140976 -4638230.61699 1.00000 1.00000 0 0 0
  478.00 00203 0011 140720 -4636415.00539 1.00000 1.00000 0 0 0
  480.00 00204 0012 140962 -4635012.26575 1.00000 1.00000 0 0 0
  483.00 00205 0011 140992 -4636247.74672 1.00000 1.00000 0 0 0
  485.00 00206 0012 140882 -4636160.54422 1.00000 1.00000 0 0 0
  488.00 00207 0014 140540 -4634963.65542 1.00000 1.00000 0 0 0
  490.00 00208 0011 140578 -4634531.70795 1.00000 1.00000 0 0 0
  493.00 00209 0011 140966 -4635619.89413 1.00000 1.00000 0 0 0
  495.00 00210 0012 140567 -4634473.18761 1.00000 1.00000 0 0 0
  497.00 00211 0011 140355 -4635107.93365 1.00000 1.00000 0 0 0
  499.00 00212 0011 140806 -4635970.53046 1.00000 1.00000 0 0 0
  502.00 00213 0012 140469 -4635133.80626 1.00000 1.00000 0 0 0
  504.00 00214 0011 140632 -4635160.87492 1.00000 1.00000 0 0 0
  506.00 00215 0013 140466 -4634135.32950 1.00000 1.00000 0 0 0
  509.00 00216 0010 140374 -4632660.81491 1.00000 1.00000 0 0 0
  511.00 00217 0010 140555 -4633455.45841 1.00000 1.00000 0 0 0
  513.00 00218 0011 140590 -4634457.33737 1.00000 1.00000 0 0 0
  515.00 00219 0011 140623 -4633774.73144 1.00000 1.00000 0 0 0
  517.00 00220 0011 140699 -4632943.06585 1.00000 1.00000 0 0 0
  519.00 00221 0012 140617 -4633692.07297 1.00000 1.00000 0 0 0
  522.00 00222 0010 140752 -4633492.33742 1.00000 1.00000 0 0 0
  524.00 00223 0009 140752 -4634379.97737 1.00000 1.00000 0 0 0
  526.00 00224 0011 140436 -4632734.55245 1.00000 1.00000 0 0 0
  528.00 00225 0010 140332 -4633026.54270 1.00000 1.00000 0 0 0
  530.00 00226 0011 140416 -4631611.25738 1.00000 1.00000 0 0 0
  533.00 00227 0010 140692 -4633744.24427 1.00000 1.00000 0 0 0
  535.00 00228 0009 140526 -4634151.24276 1.00000 1.00000 0 0 0
  537.00 00229 0010 140458 -4634067.57667 1.00000 1.00000 0 0 0
  539.00 00230 0009 140235 -4632223.83280 1.00000 1.00000 0 0 0
  541.00 00231 0009 140459 -4632936.29755 1.00000 1.00000 0 0 0
  543.00 00232 0009 140980 -4635171.14587 1.00000 1.00000 0 0 0
  545.00 00233 0009 140508 -4633059.43486 1.00000 1.00000 0 0 0
  547.00 00234 0010 140820 -4633977.18653 1.00000 1.00000 0 0 0
  549.00 00235 0009 140529 -4632839.28325 1.00000 1.00000 0 0 0
  551.00 00236 0010 140625 -4631227.02070 1.00000 1.00000 0 0 0
  553.00 00237 0009 141174 -4632564.40453 1.00000 1.00000 0 0 0
  555.00 00238 0011 140717 -4630885.26570 1.00000 1.00000 0 0 0
  558.00 00239 0012 140520 -4630848.21702 1.00000 1.00000 0 0 0
  560.00 00240 0012 140545 -4630279.26687 1.00000 1.00000 0 0 0
  563.00 00241 0013 140251 -4629320.38148 1.00000 1.00000 0 0 0
  566.00 00242 0014 140384 -4629415.37680 1.00000 1.00000 0 0 0
  569.00 00243 0013 140299 -4629431.41799 1.00000 1.00000 0 0 0
  571.00 00244 0012 140661 -4631472.88499 1.00000 1.00000 0 0 0
  573.00 00245 0013 140968 -4632640.31632 1.00000 1.00000 0 0 0
  576.00 00246 0011 140735 -4630447.75839 1.00000 1.00000 0 0 0
  578.00 00247 0009 140369 -4629336.26564 1.00000 1.00000 0 0 0
  580.00 00248 0009 140611 -4630131.22132 1.00000 1.00000 0 0 0
  582.00 00249 0011 140703 -4629883.48862 1.00000 1.00000 0 0 0
  585.00 00250 0010 140436 -4629522.22712 1.00000 1.00000 0 0 0
  587.00 00251 0010 140804 -4629941.74051 1.00000 1.00000 0 0 0
  589.00 00252 0010 140666 -4630580.30644 1.00000 1.00000 0 0 0
  591.00 00253 0012 140849 -4630291.92692 1.00000 1.00000 0 0 0
  593.00 00254 0012 140700 -4629992.40578 1.00000 1.00000 0 0 0
  596.00 00255 0012 140758 -4629725.85574 1.00000 1.00000 0 0 0
  598.00 00256 0015 140557 -4627379.78780 1.00000 1.00000 0 0 0
  601.00 00257 0011 140440 -4626924.43066 1.00000 1.00000 0 0 0
  603.00 00258 0010 140437 -4626576.17809 1.00000 1.00000 0 0 0
  606.00 00259 0010 140582 -4627873.32620 1.00000 1.00000 0 0 0
  608.00 00260 0010 140740 -4628263.52299 1.00000 1.00000 0 0 0
  610.00 00261 0011 141057 -4630014.10212 1.00000 1.00000 0 0 0
  613.00 00262 0012 140986 -4629846.69944 1.00000 1.00000 0 0 0
  615.00 00263 0010 140755 -4628604.13868 1.00000 1.00000 0 0 0
  617.00 00264 0010 140862 -4629267.56312 1.00000 1.00000 0 0 0
  619.00 00265 0011 141050 -4629956.75649 1.00000 1.00000 0 0 0
  622.00 00266 0012 141311 -4630140.83984 1.00000 1.00000 0 0 0
  624.00 00267 0010 140873 -4627645.18795 1.00000 1.00000 0 0 0
  626.00 00268 0010 140916 -4627201.67683 1.00000 1.00000 0 0 0
  628.00 00269 0009 140904 -4626224.38107 1.00000 1.00000 0 0 0
  630.00 00270 0009 141281 -4626043.49300 1.00000 1.00000 0 0 0
  633.00 00271 0009 140946 -4625746.98945 1.00000 1.00000 0 0 0
  635.00 00272 0009 140773 -4624441.41152 1.00000 1.00000 0 0 0
  637.00 00273 0011 141103 -4624908.66092 1.00000 1.00000 0 0 0
  639.00 00274 0009 141559 -4627458.82423 1.00000 1.00000 0 0 0
  642.00 00275 0009 141349 -4626674.03627 1.00000 1.00000 0 0 0
  644.00 00276 0010 141109 -4624277.06509 1.00000 1.00000 0 0 0
  646.00 00277 0011 141684 -4626513.47728 1.00000 1.00000 0 0 0
  648.00 00278 0010 141457 -4625246.42749 1.00000 1.00000 0 0 0
  650.00 00279 0010 141366 -4624795.13610 1.00000 1.00000 0 0 0
  653.00 00280 0011 141289 -4624590.11910 1.00000 1.00000 0 0 0
  655.00 00281 0011 141478 -4625273.22695 1.00000 1.00000 0 0 0
  657.00 00282 0013 141273 -4624522.12348 1.00000 1.00000 0 0 0
  660.00 00283 0011 141395 -4624208.23780 1.00000 1.00000 0 0 0
  662.00 00284 0010 141480 -4623831.91497 1.00000 1.00000 0 0 0
  665.00 00285 0010 141686 -4624533.89519 1.00000 1.00000 0 0 0
  667.00 00286 0012 141893 -4625341.40740 1.00000 1.00000 0 0 0
  669.00 00287 0011 141741 -4624094.76349 1.00000 1.00000 0 0 0
  672.00 00288 0010 141972 -4623541.17841 1.00000 1.00000 0 0 0
  674.00 00289 0011 142201 -4623278.17861 1.00000 1.00000 0 0 0
  677.00 00290 0012 141913 -4623942.81203 1.00000 1.00000 0 0 0
  679.00 00291 0011 141926 -4623113.14671 1.00000 1.00000 0 0 0
  682.00 00292 0012 141971 -4622958.24535 1.00000 1.00000 0 0 0
  685.00 00293 0011 142005 -4622919.90695 1.00000 1.00000 0 0 0
  687.00 00294 0011 142023 -4621182.88310 1.00000 1.00000 0 0 0
  690.00 00295 0011 141666 -4619278.54707 1.00000 1.00000 0 0 0
  692.00 00296 0012 141997 -4622222.31163 1.00000 1.00000 0 0 0
  695.00 00297 0015 141772 -4620163.22635 1.00000 1.00000 0 0 0
  698.00 00298 0013 141960 -4618984.36516 1.00000 1.00000 0 0 0
  701.00 00299 0013 141871 -4618370.84300 1.00000 1.00000 0 0 0
  703.00 00300 0013 141711 -4619405.85023 1.00000 1.00000 0 0 0
  706.00 00301 0014 142122 -4621129.60452 1.00000 1.00000 0 0 0
  709.00 00302 0013 142259 -4619413.41935 1.00000 1.00000 0 0 0
  711.00 00303 0013 141740 -4618981.76376 1.00000 1.00000 0 0 0
  714.00 00304 0013 141551 -4617451.33779 1.00000 1.00000 0 0 0
  717.00 00305 0014 141891 -4617402.63353 1.00000 1.00000 0 0 0
  720.00 00306 0012 142036 -4618420.13972 1.00000 1.00000 0 0 0
  722.00 00307 0012 142207 -4618031.84329 1.00000 1.00000 0 0 0
  724.00 00308 0012 142295 -4620231.76805 1.00000 1.00000 0 0 0
  727.00 00309 0013 142454 -4619256.09698 1.00000 1.00000 0 0 0
  729.00 00310 0012 142189 -4619070.36705 1.00000 1.00000 0 0 0
  732.00 00311 0012 141960 -4618958.92474 1.00000 1.00000 0 0 0
  734.00 00312 0011 142279 -4617862.74238 1.00000 1.00000 0 0 0
  736.00 00313 0011 142091 -4618427.61229 1.00000 1.00000 0 0 0
  739.00 00314 0013 142331 -4617829.39184 1.00000 1.00000 0 0 0
  741.00 00315 0014 142516 -4618392.45450 1.00000 1.00000 0 0 0
  744.00 00316 0014 142100 -4615577.08447 1.00000 1.00000 0 0 0
  747.00 00317 0014 141949 -4614900.52569 1.00000 1.00000 0 0 0
  750.00 00318 0013 142058 -4615415.87666 1.00000 1.00000 0 0 0
  752.00 00319 0011 142350 -4615372.08048 1.00000 1.00000 0 0 0
  754.00 00320 0012 142265 -4614631.76880 1.00000 1.00000 0 0 0
  757.00 00321 0012 142225 -4615154.07617 1.00000 1.00000 0 0 0
  759.00 00322 0012 142237 -4614171.46841 1.00000 1.00000 0 0 0
  762.00 00323 0013 142320 -4615502.98270 1.00000 1.00000 0 0 0
  764.00 00324 0013 141885 -4613909.35183 1.00000 1.00000 0 0 0
  767.00 00325 0012 141975 -4613482.24146 1.00000 1.00000 0 0 0
  770.00 00326 0013 142341 -4614600.51448 1.00000 1.00000 0 0 0
  772.00 00327 0013 142303 -4614440.80861 1.00000 1.00000 0 0 0
  775.00 00328 0011 142893 -4616871.39412 1.00000 1.00000 0 0 0
  777.00 00329 0011 142542 -4616244.12979 1.00000 1.00000 0 0 0
  779.00 00330 0011 142525 -4615813.16472 1.00000 1.00000 0 0 0
  781.00 00331 0012 142608 -4616632.30915 1.00000 1.00000 0 0 0
  784.00 00332 0012 142630 -4615030.67036 1.00000 1.00000 0 0 0
  786.00 00333 0012 142575 -4615596.13227 1.00000 1.00000 0 0 0
  789.00 00334 0011 142718 -4615549.53677 1.00000 1.00000 0 0 0
  791.00 00335 0011 142411 -4614668.05655 1.00000 1.00000 0 0 0
  793.00 00336 0010 142424 -4615747.75029 1.00000 1.00000 0 0 0
  795.00 00337 0010 142912 -4616919.36735 1.00000 1.00000 0 0 0
  797.00 00338 0012 143108 -4618034.31155 1.00000 1.00000 0 0 0
  800.00 00339 0011 142695 -4615091.98240 1.00000 1.00000 0 0 0
  802.00 00340 0013 142453 -4614816.03219 1.00000 1.00000 0 0 0
  805.00 00341 0012 142759 -4615554.34486 1.00000 1.00000 0 0 0
  807.00 00342 0011 142902 -4616579.74151 1.00000 1.00000 0 0 0
  809.00 00343 0010 142912 -4615927.55717 1.00000 1.00000 0 0 0
  811.00 00344 0011 142875 -4616596.02605 1.00000 1.00000 0 0 0
  814.00 00345 0011 142474 -4614844.66710 1.00000 1.00000 0 0 0
  816.00 00346 0011 142517 -4615112.41514 1.00000 1.00000 0 0 0
  818.00 00347 0011 142255 -4615451.78680 1.00000 1.00000 0 0 0
  820.00 00348 0010 142703 -4616656.13408 1.00000 1.00000 0 0 0
  822.00 00349 0010 142543 -4616203.16776 1.00000 1.00000 0 0 0
  824.00 00350 0010 142194 -4614604.31308 1.00000 1.00000 0 0 0
  827.00 00351 0010 142472 -4615676.07492 1.00000 1.00000 0 0 0
  829.00 00352 0011 142846 -4616572.39507 1.00000 1.00000 0 0 0
  831.00 00353 0011 142737 -4616938.40466 1.00000 1.00000 0 0 0
  833.00 00354 0014 142774 -4616792.09229 1.00000 1.00000 0 0 0
  836.00 00355 0012 142639 -4616183.01030 1.00000 1.00000 0 0 0
  839.00 00356 0012 142525 -4615909.41908 1.00000 1.00000 0 0 0
  841.00 00357 0012 142648 -4616568.05081 1.00000 1.00000 0 0 0
  843.00 00358 0010 142480 -4615747.89057 1.00000 1.00000 0 0 0
  845.00 00359 0010 142807 -4617744.11234 1.00000 1.00000 0 0 0
  847.00 00360 0010 142587 -4616961.26386 1.00000 1.00000 0 0 0
  850.00 00361 0010 142590 -4615207.86224 1.00000 1.00000 0 0 0
  852.00 00362 0011 142732 -4618217.18771 1.00000 1.00000 0 0 0
  854.00 00363 0009 142762 -4617295.86604 1.00000 1.00000 0 0 0
  856.00 00364 0010 142254 -4615524.31155 1.00000 1.00000 0 0 0
  858.00 00365 0009 142488 -4616322.76890 1.00000 1.00000 0 0 0
  860.00 00366 0009 142224 -4616381.70959 1.00000 1.00000 0 0 0
